,mean,min,max,std,median
cost,0.17023999999999997,0.17024,0.17024,1.3994902017522592e-16,0.17024
cpu_usage,1.1077000000000001,0.206,1.823,0.530338724507144,1.2785000000000002
mem_usage,1.0968166666666668,0.203,1.8050000000000002,0.5253440677765598,1.267
pending_pods,9.866666666666667,0.0,70.0,23.29724408424533,0.0
time_with_pending,0.18333333333333332,0.0,1.0,0.39020492949942365,0.0
wokloads_with_pending_pods,0.020074623053617978,0.0,0.1566265060240964,0.04569353424014034,0.0
number_of_migrations,37.5,0.0,120.0,55.937465083787984,15.0
