,mean,min,max,std,median
cost,0.17841600000000002,0.17024,0.20832,0.010633853710944247,0.17024
cpu_usage,0.9539666666666666,0.0,1.601,0.4209465510846436,1.018
mem_usage,0.9446166666666667,0.0,1.586,0.4168136636747753,1.008
pending_pods,46.983333333333334,0.0,244.0,80.87623766724714,10.0
time_with_pending,0.5833333333333334,0.0,1.0,0.4971671160112441,1.0
wokloads_with_pending_pods,0.10282972486969805,0.0,0.45555555555555555,0.14754353373785417,0.02857142857142857
number_of_migrations,217.2,0.0,420.0,150.9807934804954,234.0
