,mean,min,max,std,median
cost,0.17127111111111104,0.17024,0.17248,0.001125434842285142,0.17024
cpu_usage,1.1240634920634915,0.206,1.819,0.5044042756788373,1.3410000000000002
mem_usage,1.1131587301587302,0.204,1.802,0.4995330789637523,1.328
pending_pods,13.285714285714286,0.0,64.0,21.55071181477545,0.0
time_with_pending,0.49206349206349204,0.0,1.0,0.50395263067897,0.0
wokloads_with_pending_pods,0.033351643215883596,0.0,0.2,0.049998002947891605,0.0
number_of_migrations,33.0,0.0,90.0,42.8485705712571,21.0
