,mean,min,max,std,median
cost,0.17023999999999997,0.17024,0.17024,1.3994902017522592e-16,0.17024
cpu_usage,1.0105333333333335,0.206,1.8090000000000002,0.4287931217299758,1.0775000000000001
mem_usage,1.0005333333333335,0.203,1.791,0.4246992741297395,1.067
pending_pods,46.06666666666667,0.0,244.0,87.93060951907187,0.0
time_with_pending,0.25,0.0,1.0,0.4366668823046865,0.0
wokloads_with_pending_pods,0.09116043815900345,0.0,0.43529411764705883,0.16595095224720224,0.0
number_of_migrations,97.5,0.0,186.0,99.24212815130478,102.0
