,mean,min,max,std,median
cost,0.17023999999999997,0.17024,0.17024,1.3984132564586717e-16,0.17024
cpu_usage,0.8646515151515152,0.206,1.12,0.29418751175838875,0.9844999999999999
mem_usage,0.8560151515151516,0.203,1.109,0.29138077083612385,0.975
pending_pods,93.12121212121212,0.0,298.0,92.76579527979467,100.0
time_with_pending,0.7272727272727273,0.0,1.0,0.4487745552040595,1.0
wokloads_with_pending_pods,0.21407682920470647,0.0,0.56,0.16717105722543552,0.2463768115942029
number_of_migrations,70.0,0.0,174.0,91.84770002564028,36.0
