,mean,min,max,std,median
cost,0.10752000000000003,0.10752,0.10752,4.197323325386947e-17,0.10752
cpu_usage,0.8742419354838711,0.266,1.295,0.10733503323764763,0.871
mem_usage,0.8654516129032259,0.264,1.282,0.1061611329296031,0.862
pending_pods,0.22580645161290322,0.0,8.0,1.2599681864147878,0.0
time_with_pending,0.03225806451612903,0.0,1.0,0.17812704394997525,0.0
wokloads_with_pending_pods,0.0027142076075919704,0.0,0.14285714285714285,0.018375759170217023,0.0
number_of_migrations,80.0,16.0,146.0,53.391634800469134,79.0
