,mean,min,max,std,median
cost,0.17023999999999997,0.17024,0.17024,1.3994902017522592e-16,0.17024
cpu_usage,1.0935833333333334,0.0,1.802,0.5186339387558229,1.2305000000000001
mem_usage,1.0828333333333333,0.0,1.784,0.5134424585015249,1.2189999999999999
pending_pods,19.45,0.0,76.0,24.7348138652619,10.0
time_with_pending,0.6333333333333333,0.0,1.0,0.48596110141697085,1.0
wokloads_with_pending_pods,0.05278624548709831,0.0,0.14444444444444443,0.053882088989557084,0.02857142857142857
number_of_migrations,39.0,0.0,90.0,41.13392760240627,33.0
