,mean,min,max,std,median
cost,0.1763253333333333,0.17024,0.18816,0.007923264065164538,0.17024
cpu_usage,0.8587999999999999,0.206,1.694,0.34126453777936366,0.915
mem_usage,0.8504666666666666,0.204,1.678,0.3380380816310026,0.906
pending_pods,80.28333333333333,0.0,304.0,103.95453564047112,7.5
time_with_pending,0.5333333333333333,0.0,1.0,0.5030977485864635,1.0
wokloads_with_pending_pods,0.17143411806918002,0.0,0.51,0.19324607436123914,0.07047619047619047
number_of_migrations,164.4,0.0,324.0,149.13349724324178,168.0
