,mean,min,max,std,median
cost,0.18312000000000003,0.17024,0.19264,0.009437287745957522,0.18592
cpu_usage,1.0260666666666665,0.0,1.823,0.5028285709378617,1.081
mem_usage,1.0159000000000002,0.0,1.8050000000000002,0.4978041511290922,1.07
pending_pods,10.533333333333333,0.0,94.0,22.68761079567038,0.0
time_with_pending,0.1322314049586777,0.0,1.0,0.34015067152490425,0.0
wokloads_with_pending_pods,0.014895241536071972,0.0,0.24285714285714285,0.04561040486433146,0.0
number_of_migrations,7.4,2.0,17.0,5.770615218501403,5.0
