,mean,min,max,std,median
cost,0.10752000000000003,0.10752,0.10752,4.1978874438392473e-17,0.10752
cpu_usage,0.8793114754098359,0.539,1.132,0.0687559793723684,0.87
mem_usage,0.8708196721311477,0.533,1.121,0.06817074352846716,0.862
pending_pods,0.2786885245901639,0.0,7.0,1.2666379059144943,0.0
time_with_pending,0.04918032786885246,0.0,1.0,0.21803894974650145,0.0
wokloads_with_pending_pods,0.0019236026706456256,0.0,0.05714285714285714,0.009106311723128643,0.0
number_of_migrations,88.0,0.0,140.0,57.619441163551734,80.0
