,mean,min,max,std,median
cost,0.17184533333333332,0.17024,0.17248,0.0010178999096122825,0.17248
cpu_usage,1.1152500000000003,0.202,1.819,0.5180582921523373,1.2890000000000001
mem_usage,1.1044166666666666,0.2,1.802,0.5130849631187132,1.2770000000000001
pending_pods,9.783333333333333,0.0,64.0,22.06238586500782,0.0
time_with_pending,0.21666666666666667,0.0,1.0,0.41545020165658464,0.0
wokloads_with_pending_pods,0.02014721797810033,0.0,0.15151515151515152,0.04357056916530689,0.0
number_of_migrations,28.5,0.0,96.0,45.79301256742124,9.0
