,mean,min,max,std,median
cost,0.10752000000000003,0.10752,0.10752,4.1978874438392473e-17,0.10752
cpu_usage,0.875590163934426,0.582,1.088,0.05639396452611467,0.871
mem_usage,0.8669672131147542,0.577,1.078,0.05580291725143496,0.862
pending_pods,0.32786885245901637,0.0,8.0,1.4688012286147933,0.0
time_with_pending,0.04918032786885246,0.0,1.0,0.21803894974650145,0.0
wokloads_with_pending_pods,0.0023379724786833176,0.0,0.06493506493506493,0.010731954487619974,0.0
number_of_migrations,64.0,0.0,80.0,35.77708763999664,80.0
