,mean,min,max,std,median
cost,0.10752000000000003,0.10752,0.10752,4.198470605256777e-17,0.10752
cpu_usage,0.8664333333333333,0.539,0.903,0.043475832626861444,0.87
mem_usage,0.8582166666666667,0.533,0.894,0.043164679403681384,0.862
pending_pods,0.15,0.0,9.0,1.1618950038622224,0.0
time_with_pending,0.016666666666666666,0.0,1.0,0.12909944487358072,0.0
wokloads_with_pending_pods,0.0011737089201877935,0.0,0.07042253521126761,0.009091510202364848,0.0
number_of_migrations,10.5,8.0,14.0,2.516611478423583,10.0
