,mean,min,max,std,median
cost,0.10663140495867773,0.0,0.10752,0.009774545454545445,0.10752
cpu_usage,0.8538595041322316,0.0,0.9309999999999999,0.11551755319612113,0.871
mem_usage,0.845297520661157,0.0,0.9209999999999999,0.11433850653710234,0.862
pending_pods,0.09917355371900827,0.0,7.0,0.778941147516785,0.0
time_with_pending,0.01652892561983471,0.0,1.0,0.12802806166228836,0.0
wokloads_with_pending_pods,0.0026629935720844807,0.0,0.2222222222222222,0.02208405162532871,0.0
number_of_migrations,6.0,1.0,11.0,4.163331998932265,6.0
