,mean,min,max,std,median
cost,0.10752000000000003,0.10752,0.10752,4.198470605256777e-17,0.10752
cpu_usage,0.86965,0.669,0.925,0.028137570637066938,0.8705
mem_usage,0.8612166666666669,0.663,0.916,0.02782578469307398,0.862
pending_pods,0.11666666666666667,0.0,7.0,0.9036961141150637,0.0
time_with_pending,0.016666666666666666,0.0,1.0,0.12909944487358072,0.0
wokloads_with_pending_pods,0.0008333333333333334,0.0,0.05,0.006454972243679045,0.0
number_of_migrations,13.0,2.0,24.0,9.018499505645789,13.0
