,mean,min,max,std,median
cost,0.17023999999999995,0.17024,0.17024,1.3992958146130824e-16,0.17024
cpu_usage,0.8390327868852459,0.206,1.203,0.3029810757133804,0.915
mem_usage,0.8309508196721309,0.204,1.192,0.30016725483356266,0.906
pending_pods,97.31147540983606,0.0,250.0,85.82473244615183,94.0
time_with_pending,0.7540983606557377,0.0,1.0,0.43419418485734523,1.0
wokloads_with_pending_pods,0.2364829450554156,0.0,0.56,0.16608119136401392,0.29333333333333333
number_of_migrations,58.5,0.0,150.0,72.72551134230683,42.0
