,mean,min,max,std,median
cost,0.10752000000000003,0.10752,0.10752,4.1978874438392473e-17,0.10752
cpu_usage,0.863245901639344,0.31,0.925,0.0725554169210691,0.871
mem_usage,0.8545737704918035,0.307,0.9159999999999999,0.0718158429634191,0.862
pending_pods,0.09836065573770492,0.0,6.0,0.7682212795973736,0.0
time_with_pending,0.01639344262295082,0.0,1.0,0.1280368799328961,0.0
wokloads_with_pending_pods,0.001639344262295082,0.0,0.1,0.012803687993289566,0.0
number_of_migrations,8.5,2.0,12.0,4.725815626252608,10.0
