model,temperature,load,metric,mean_across_runs,min_across_runs,max_across_runs,median_across_runs,std_across_runs,n_runs
google-gemini-2.5-pro,0.0,varia,cost,0.17399573333333324,0.17024,0.194432,0.17203200000000002,0.004365574255212919,5
google-gemini-2.5-pro,0.0,varia,cpu_usage,1.0496033333333334,0.0248,1.7420000000000002,1.0884999999999998,0.029883517846613857,5
google-gemini-2.5-pro,0.0,varia,mem_usage,1.0393766666666666,0.0246,1.7253999999999998,1.078,0.02969406880544021,5
google-gemini-2.5-pro,0.0,varia,number_of_migrations,87.9,16.8,206.4,64.2,23.10681717588989,5
google-gemini-2.5-pro,0.0,varia,pending_pods,23.253333333333337,0.0,124.4,2.1,11.700174500123207,5
google-gemini-2.5-pro,0.0,varia,time_with_pending,0.41,0.0,1.0,0.3,0.13974182544169725,5
google-gemini-2.5-pro,0.0,varia,wokloads_with_pending_pods,0.05647125191044082,0.0,0.3824444444444445,0.006980108499095821,0.02642381392405085,5
google-gemini-2.5-pro,1.0,varia,cost,0.17133759999999992,0.17024,0.17292799999999997,0.170688,0.0017050342192721848,5
google-gemini-2.5-pro,1.0,varia,cpu_usage,1.064756666666667,0.18919999999999998,1.6965999999999997,1.2393999999999998,0.052959187116117974,5
google-gemini-2.5-pro,1.0,varia,mem_usage,1.0544533333333335,0.18719999999999998,1.6804,1.2277,0.052549502323470706,5
google-gemini-2.5-pro,1.0,varia,number_of_migrations,78.0,16.8,177.6,58.8,37.61980861195336,5
google-gemini-2.5-pro,1.0,varia,pending_pods,27.24666666666667,0.0,151.6,2.0,17.835531017232615,5
google-gemini-2.5-pro,1.0,varia,time_with_pending,0.38,0.0,1.0,0.2,0.16599866130651644,5
google-gemini-2.5-pro,1.0,varia,wokloads_with_pending_pods,0.056882864999328916,0.0,0.27805948025143074,0.0057142857142857,0.03933673685084518,5
karmada-native,N/A,const,cost,0.10752000000000002,0.10752000000000002,0.10752000000000002,0.10752000000000002,1.5515838457795457e-17,5
karmada-native,N/A,const,cpu_usage,0.8537433333333336,0.037,0.8710000000000001,0.8710000000000001,0.004130721621110668,5
karmada-native,N/A,const,mem_usage,0.8449200000000001,0.0366,0.8619999999999999,0.8619999999999999,0.004089050419514716,5
karmada-native,N/A,const,number_of_migrations,0.0,0.0,0.0,0.0,0.0,5
karmada-native,N/A,const,pending_pods,0.08666666666666664,0.0,5.2,0.0,0.05190803834132478,5
karmada-native,N/A,const,time_with_pending,0.00661157024793384,0.0,0.8,0.0,0.0036959801280988013,5
karmada-native,N/A,const,wokloads_with_pending_pods,0.00050584173507916,0.0,0.0612068499445841,0.0,0.0003680509092494605,5
karmada-native,N/A,varia,cost,0.18454613333333328,0.17024,0.19264,0.189056,0.0012636657785981386,5
karmada-native,N/A,varia,cpu_usage,1.02376,0.0,1.823,1.0737999999999999,0.010165789579652763,5
karmada-native,N/A,varia,mem_usage,1.0138033333333334,0.0,1.8050000000000002,1.0633000000000001,0.010017723183327507,5
karmada-native,N/A,varia,number_of_migrations,8.28,1.4,16.6,7.2,0.6058052492344382,5
karmada-native,N/A,varia,pending_pods,6.22,0.0,94.0,0.0,3.363971693631733,5
karmada-native,N/A,varia,time_with_pending,0.084297520661157,0.0,1.0,0.0,0.041487274043012015,5
karmada-native,N/A,varia,wokloads_with_pending_pods,0.00901932937258878,0.0,0.2371428571428571,0.0,0.004482937426903614,5
openai-gpt-5,0.0,const,cost,0.10752000000000002,0.10752000000000002,0.10752000000000002,0.10752000000000002,1.5515838457795457e-17,5
openai-gpt-5,0.0,const,cpu_usage,0.8617233333333335,0.2522,0.9109999999999999,0.8710000000000001,0.0039310657305339615,5
openai-gpt-5,0.0,const,mem_usage,0.8529800000000002,0.24979999999999997,0.9016,0.8620000000000001,0.003859933073685744,5
openai-gpt-5,0.0,const,number_of_migrations,8.0,4.0,14.8,6.6,4.636809247747852,5
openai-gpt-5,0.0,const,pending_pods,0.09666666666666664,0.0,5.4,0.0,0.05577733510227169,5
openai-gpt-5,0.0,const,time_with_pending,0.016666666666666618,0.0,0.8,0.0,0.01178511301977578,5
openai-gpt-5,0.0,const,wokloads_with_pending_pods,0.00123265658392236,0.0,0.07145939503534438,0.0,0.0011223299074114201,5
openai-gpt-5,1.0,const,cost,0.10735067716535433,0.08601600000000001,0.10752000000000002,0.10752000000000002,0.00037861736841069674,5
openai-gpt-5,1.0,const,cpu_usage,0.8632032402767837,0.31660000000000005,0.9206,0.8710000000000001,0.006186459933185215,5
openai-gpt-5,1.0,const,mem_usage,0.8546574755428299,0.3134,0.9114000000000001,0.8619999999999999,0.006191798990763154,5
openai-gpt-5,1.0,const,number_of_migrations,8.666666666666666,4.4,13.2,8.4,2.3570226039551585,5
openai-gpt-5,1.0,const,pending_pods,0.0855094249582438,0.0,4.6,0.0,0.08363590469259673,5
openai-gpt-5,1.0,const,time_with_pending,0.01793843951324262,0.0,0.8,0.0,0.015040384775311893,5
