model,temperature,load,run_dir,metric,mean,min,max,std,median
anthropic-claude-sonnet-4.5,0.0,const,anthropic-claude-sonnet-4.5_input_const_v2_0_20260803_053116,cpu_usage,0.8821803278688526,0.675,1.23,0.0618397143688749,0.871
anthropic-claude-sonnet-4.5,0.0,const,anthropic-claude-sonnet-4.5_input_const_v2_0_20260803_053116,mem_usage,0.8734754098360658,0.668,1.218,0.0612534642713855,0.862
anthropic-claude-sonnet-4.5,0.0,const,anthropic-claude-sonnet-4.5_input_const_v2_0_20260803_053116,number_of_migrations,80.0,80.0,80.0,0.0,80.0
anthropic-claude-sonnet-4.5,0.0,const,anthropic-claude-sonnet-4.5_input_const_v2_0_20260803_053116,pending_pods,0.3442622950819672,0.0,7.0,1.3525931379100335,0.0
anthropic-claude-sonnet-4.5,0.0,const,anthropic-claude-sonnet-4.5_input_const_v2_0_20260803_053116,time_with_pending,0.0655737704918032,0.0,1.0,0.2495898274513871,0.0
anthropic-claude-sonnet-4.5,0.0,const,anthropic-claude-sonnet-4.5_input_const_v2_0_20260803_053116,wokloads_with_pending_pods,0.0021521295787904,0.0,0.05,0.0087401953228179,0.0
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_141110,cost,0.10752,0.10752,0.10752,4.197323325386947e-17,0.10752
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_141110,cpu_usage,0.8827903225806454,0.501,1.328,0.0958345803458134,0.871
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_141110,mem_usage,0.8740806451612904,0.496,1.315,0.0948918795238925,0.862
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_141110,number_of_migrations,90.0,80.0,130.0,22.360679774997894,80.0
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_141110,pending_pods,0.4032258064516129,0.0,7.0,1.419532102771374,0.0
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_141110,time_with_pending,0.0806451612903225,0.0,1.0,0.2745122110081746,0.0
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_141110,wokloads_with_pending_pods,0.0033986799156105,0.0,0.0769230769230769,0.0130732122187782,0.0
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_145248,cost,0.10752,0.10752,0.10752,4.1978874438392473e-17,0.10752
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_145248,cpu_usage,0.8686393442622954,0.032,1.143,0.1188848228029808,0.871
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_145248,mem_usage,0.859704918032787,0.032,1.132,0.1176775742247,0.862
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_145248,number_of_migrations,64.0,0.0,160.0,87.63560920082658,0.0
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_145248,pending_pods,0.2622950819672131,0.0,6.0,1.181829645708471,0.0
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_145248,time_with_pending,0.0491803278688524,0.0,1.0,0.2180389497465014,0.0
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_145248,wokloads_with_pending_pods,0.0081393095760382,0.0,0.4285714285714285,0.0551064760035034,0.0
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_153459,cost,0.10752,0.10752,0.10752,4.1978874438392473e-17,0.10752
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_153459,cpu_usage,0.8793114754098359,0.539,1.132,0.0687559793723684,0.87
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_153459,mem_usage,0.8708196721311477,0.533,1.121,0.0681707435284671,0.862
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_153459,number_of_migrations,88.0,0.0,140.0,57.61944116355173,80.0
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_153459,pending_pods,0.2786885245901639,0.0,7.0,1.2666379059144943,0.0
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_153459,time_with_pending,0.0491803278688524,0.0,1.0,0.2180389497465014,0.0
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_153459,wokloads_with_pending_pods,0.0019236026706456,0.0,0.0571428571428571,0.0091063117231286,0.0
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_161626,cost,0.10752,0.10752,0.10752,4.197323325386947e-17,0.10752
