model,temperature,load,run_dir,metric,mean,min,max,std,median
anthropic-claude-sonnet-4.5,0.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_0_20260802_044240,time_with_pending,0.4666666666666667,0.0,1.0,0.5030977485864635,0.0
anthropic-claude-sonnet-4.5,0.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_0_20260802_044240,wokloads_with_pending_pods,0.0772147871395017,0.0,0.3647058823529411,0.1258157724465238,0.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_052350,cost,0.1791626666666667,0.17024,0.20832,0.0110084685224167,0.17024
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_052350,cpu_usage,0.9695666666666666,0.168,1.775,0.4178841931325667,1.049
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_052350,mem_usage,0.9600166666666666,0.166,1.757,0.4137108829034698,1.039
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_052350,number_of_migrations,214.8,0.0,414.0,148.6378148386204,234.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_052350,pending_pods,47.05,0.0,254.0,85.60184240849505,7.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_052350,time_with_pending,0.5166666666666667,0.0,1.0,0.503939284299098,1.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_052350,wokloads_with_pending_pods,0.1037303230768847,0.0,0.45,0.1561271277038203,0.0285714285714285
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_060436,cost,0.1787893333333334,0.17024,0.1904,0.0087825709271485,0.17472
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_060436,cpu_usage,0.9580499999999998,0.188,1.651,0.4062234262495188,1.0075
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_060436,mem_usage,0.9486,0.186,1.635,0.4021558513978869,0.9975
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_060436,number_of_migrations,184.8,30.0,300.0,105.76010590009828,180.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_060436,pending_pods,47.91666666666666,0.0,244.0,85.68177063535184,0.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_060436,time_with_pending,0.45,0.0,1.0,0.5016920522135441,0.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_060436,wokloads_with_pending_pods,0.0972095315813975,0.0,0.4352941176470588,0.1614578123700418,0.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_064534,cost,0.178416,0.17024,0.20832,0.0106338537109442,0.17024
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_064534,cpu_usage,0.9539666666666666,0.0,1.601,0.4209465510846436,1.018
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_064534,mem_usage,0.9446166666666668,0.0,1.586,0.4168136636747753,1.008
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_064534,number_of_migrations,217.2,0.0,420.0,150.9807934804954,234.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_064534,pending_pods,46.98333333333333,0.0,244.0,80.87623766724714,10.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_064534,time_with_pending,0.5833333333333334,0.0,1.0,0.4971671160112441,1.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_064534,wokloads_with_pending_pods,0.102829724869698,0.0,0.4555555555555555,0.1475435337378541,0.0285714285714285
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_072623,cost,0.1787519999999999,0.17024,0.21056,0.0112930104076723,0.17024
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_072623,cpu_usage,0.9767333333333336,0.206,1.709,0.4212542960266448,1.033
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_072623,mem_usage,0.9671166666666668,0.204,1.6920000000000002,0.4170138839157888,1.023
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_072623,number_of_migrations,219.6,0.0,420.0,151.52821519439868,240.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_072623,pending_pods,43.86666666666667,0.0,244.0,80.6890803245137,0.0
