,mean,min,max,std,median
cost,0.17023999999999997,0.17024,0.17024,1.3994902017522592e-16,0.17024
cpu_usage,0.9870666666666668,0.168,1.589,0.4063012519604547,1.1084999999999998
mem_usage,0.9773499999999998,0.166,1.573,0.40224858765592514,1.0975000000000001
pending_pods,52.96666666666667,0.0,250.0,84.92149249162807,10.0
time_with_pending,0.65,0.0,1.0,0.4809947319913076,1.0
wokloads_with_pending_pods,0.11703324028122415,0.0,0.43,0.1516214236915763,0.02857142857142857
number_of_migrations,82.5,0.0,180.0,75.0,75.0
