,mean,min,max,std,median
cost,0.10752000000000003,0.10752,0.10752,4.198470605256777e-17,0.10752
cpu_usage,0.8718666666666669,0.8,0.925,0.012916244753451878,0.871
mem_usage,0.8628833333333333,0.792,0.915,0.012779872504956291,0.862
pending_pods,0.16666666666666666,0.0,8.0,1.0603272067200442,0.0
time_with_pending,0.03333333333333333,0.0,1.0,0.18102033471939238,0.0
wokloads_with_pending_pods,0.0012449186991869917,0.0,0.0625,0.008194646501046782,0.0
number_of_migrations,13.5,10.0,16.0,2.516611478423583,14.0
