timestamp,mem_allocated_public,mem_requested_public,cpu_allocated_public,cpu_requested_public,cluster_mem_load_public,cluster_cpu_load_public,cluster_cpu_capacity_public,cluster_memory_capacity_public,number_pending_public_x,mem_allocated_private,mem_requested_private,cpu_allocated_private,cpu_requested_private,cluster_mem_load_private,cluster_cpu_load_private,cluster_cpu_capacity_private,cluster_memory_capacity_private,number_pending_private_x,time_seconds,number_of_pods_pending,number_pending_private_y,number_pending_public_y,total_percent_pending,cpu_load_public,mem_load_public,cpu_load_private,mem_load_private,cost_public,cost_public_hourly,cost_private,cost_private_hourly,cost_total,cumulative_cost_public,cumulative_cost_private,cumulative_cost_total
2026-02-13 19:42:49,0.0,0.0,0.0,0.0,0.0,0.0,15.3,30.90234375,0,19.99381640625,19.99381640625,9.990900000000002,9.990900000000002,19.99381640625,9.990900000000002,15.3,30.90234375,0,0.0,0,0,0,0.0,0.0,0.0,0.653,0.647,0.00448,0.5376,0.00448,0.5376,0.00896,0.00448,0.00448,0.00896
2026-02-13 19:43:19,0.0,0.0,0.0,0.0,0.0,0.0,15.3,30.90234375,0,19.99381640625,19.99381640625,9.990900000000002,9.990900000000002,19.99381640625,9.990900000000002,15.3,30.90234375,0,30.0,0,0,0,0.0,0.0,0.0,0.653,0.647,0.00448,0.5376,0.00448,0.5376,0.00896,0.00896,0.00896,0.01792
2026-02-13 19:43:49,0.0,0.0,0.0,0.0,0.0,0.0,15.3,30.90234375,2,27.9975234375,31.983925781249997,13.999500000000001,15.9885,27.9975234375,13.999500000000001,15.3,30.90234375,0,60.0,2,0,2,0.125,0.0,0.0,0.915,0.906,0.00448,0.5376,0.00448,0.5376,0.00896,0.013439999999999999,0.013439999999999999,0.026879999999999998
2026-02-13 19:44:19,0.0,0.0,0.0,0.0,0.0,0.0,15.3,30.90234375,2,27.9975234375,31.983925781249997,13.999500000000001,15.9885,27.9975234375,13.999500000000001,15.3,30.90234375,0,90.0,2,0,2,0.125,0.0,0.0,0.915,0.906,0.00448,0.5376,0.00448,0.5376,0.00896,0.01792,0.01792,0.03584
2026-02-13 19:44:49,19.99381640625,19.99381640625,9.990900000000002,9.990900000000002,19.99381640625,9.990900000000002,15.3,30.90234375,6,27.9975234375,39.9876328125,13.999500000000001,19.9971,27.9975234375,13.999500000000001,15.3,30.90234375,0,120.0,6,0,6,0.3,0.653,0.647,0.915,0.906,0.00448,0.5376,0.00448,0.5376,0.00896,0.022399999999999996,0.022399999999999996,0.04479999999999999
2026-02-13 19:45:19,31.983925781249997,31.983925781249997,15.996149999999998,15.996149999999998,31.983925781249997,15.996149999999998,22.95,46.353515625,0,7.9728046875,7.9728046875,3.9933000000000005,3.9933000000000005,7.9728046875,3.9933000000000005,15.3,30.90234375,0,150.0,0,0,0,0.0,0.697,0.69,0.261,0.258,0.00672,0.8064,0.00448,0.5376,0.0112,0.029119999999999997,0.026879999999999994,0.055999999999999994
