,mean,min,max,std,median
cost,0.17023999999999997,0.17024,0.17024,1.3994902017522592e-16,0.17024
cpu_usage,1.1139166666666669,0.205,1.74,0.5002964643687653,1.2475
mem_usage,1.1031000000000002,0.20299999999999999,1.7229999999999999,0.495380514591852,1.236
pending_pods,15.283333333333333,0.0,94.0,32.58526841249163,0.0
time_with_pending,0.25,0.0,1.0,0.4366668823046865,0.0
wokloads_with_pending_pods,0.031627987188084065,0.0,0.21333333333333335,0.0618526487692184,0.0
number_of_migrations,36.0,0.0,84.0,34.9857113690718,30.0
