,mean,min,max,std,median
cost,0.17744533333333332,0.17024,0.19264,0.009760376393594295,0.17024
cpu_usage,0.8635166666666667,0.206,1.713,0.3484316673842349,0.915
mem_usage,0.8550833333333333,0.204,1.6960000000000002,0.34492948390947464,0.906
pending_pods,78.5,0.0,298.0,101.21557795289708,8.0
time_with_pending,0.5333333333333333,0.0,1.0,0.5030977485864635,1.0
wokloads_with_pending_pods,0.1675124413062209,0.0,0.5,0.1890606041868093,0.0725
number_of_migrations,164.4,0.0,312.0,144.72318404457525,174.0
