,mean,min,max,std,median
cost,0.10752000000000003,0.10752,0.10752,4.1967773321065376e-17,0.10752
cpu_usage,0.8627301587301586,0.283,0.953,0.07495314802169079,0.871
mem_usage,0.8543174603174606,0.28,0.943,0.07424063433857753,0.862
pending_pods,0.1111111111111111,0.0,7.0,0.8819171036881985,0.0
time_with_pending,0.015873015873015872,0.0,1.0,0.1259881576697424,0.0
wokloads_with_pending_pods,0.0021450021450021453,0.0,0.13513513513513514,0.017025426712127378,0.0
number_of_migrations,10.5,6.0,16.0,4.43471156521669,10.0
