,mean,min,max,std,median
cost,0.18300799999999998,0.17024,0.2016,0.013686418951968909,0.17472
cpu_usage,1.0055,0.0,1.658,0.4938944339273391,1.2389999999999999
mem_usage,0.9954500000000001,0.0,1.641,0.4889591305578946,1.227
pending_pods,26.416666666666668,0.0,118.0,40.572300673253714,10.0
time_with_pending,0.6166666666666667,0.0,1.0,0.4903014177279001,1.0
wokloads_with_pending_pods,0.06901682434285687,0.0,0.25,0.08072863573704887,0.02857142857142857
number_of_migrations,103.5,48.0,252.0,99.12113800799504,57.0
