,mean,min,max,std,median
cost,0.18517333333333336,0.17024,0.19264,0.009903744655032779,0.1904
cpu_usage,1.0066166666666667,0.0,1.823,0.5306389526058174,1.0495
mem_usage,0.9969666666666669,0.0,1.8050000000000002,0.5252554815553616,1.0394999999999999
pending_pods,3.2666666666666666,0.0,94.0,17.0063464391691,0.0
time_with_pending,0.03305785123966942,0.0,1.0,0.17953106961937734,0.0
wokloads_with_pending_pods,0.0041269841269841265,0.0,0.22857142857142856,0.029343192186427038,0.0
number_of_migrations,8.5,1.0,16.0,10.606601717798213,8.5
