,mean,min,max,std,median
cost,0.10752000000000003,0.10752,0.10752,4.198470605256777e-17,0.10752
cpu_usage,0.8641833333333335,0.114,1.148,0.10500129001090797,0.871
mem_usage,0.85545,0.113,1.137,0.10394301323321377,0.862
pending_pods,0.21666666666666667,0.0,9.0,1.2634586196689719,0.0
time_with_pending,0.03333333333333333,0.0,1.0,0.18102033471939238,0.0
wokloads_with_pending_pods,0.005378151260504202,0.0,0.29411764705882354,0.03808688688062177,0.0
number_of_migrations,32.0,0.0,80.0,43.81780460041329,0.0
