,mean,min,max,std,median
cost,0.1710613333333333,0.17024,0.17248,0.0010885528671740112,0.17024
cpu_usage,1.0094500000000002,0.0,1.5510000000000002,0.4203866833753443,1.121
mem_usage,0.9994166666666667,0.0,1.536,0.41625453798785206,1.11
pending_pods,40.38333333333333,0.0,214.0,75.35185075649696,0.0
time_with_pending,0.4166666666666667,0.0,1.0,0.4971671160112441,0.0
wokloads_with_pending_pods,0.07887140551682338,0.0,0.4,0.13655774643635232,0.0
number_of_migrations,102.0,48.0,150.0,55.641710972974224,105.0
